Czas[s];Temperatura[C];Moc[W]
0;20,079;10 000
0,5;20,158;10 000
1;20,2369;10 000
1,5;20,3158;10 000
2;20,3946;10 000
2,5;20,4734;10 000
3;20,5522;10 000
3,5;20,6309;10 000
4;20,7095;10 000
4,5;20,7882;10 000
5;20,8667;10 000
5,5;20,9453;10 000
6;21,0238;10 000
6,5;21,0011;0
7;20,9785;0
7,5;21,057;10 000
8;21,0343;0
8,5;21,0117;0
9;20,989;0
9,5;21,0675;10 000
10;21,0448;0
10,5;21,0222;0
11;20,9995;0
11,5;21,078;10 000
12;21,0553;0
12,5;21,0326;0
13;21,01;0
13,5;20,9874;0
14;21,0658;10 000
14,5;21,0432;0
15;21,0205;0
15,5;20,9979;0
16;21,0763;10 000
16,5;21,0537;0
17;21,031;0
17,5;21,0083;0
18;20,9857;0
18,5;21,0642;10 000
19;21,0415;0
19,5;21,0189;0
20;20,9962;0
20,5;21,0747;10 000
21;21,052;0
21,5;21,0294;0
22;21,0067;0
22,5;20,9841;0
23;21,0625;10 000
23,5;21,0399;0
24;21,0172;0
24,5;20,9946;0
25;21,073;10 000
25,5;21,0504;0
26;21,0277;0
26,5;21,0051;0
27;20,9824;0
27,5;21,0609;10 000
28;21,0382;0
28,5;21,0156;0
29;20,993;0
29,5;21,0714;10 000
30;21,0488;0
30,5;21,0261;0
31;21,0035;0
31,5;20,9808;0
32;21,0593;10 000
32,5;21,0366;0
33;21,014;0
33,5;20,9913;0
34;21,0698;10 000
34,5;21,0471;0
35;21,0245;0
35,5;21,0018;0
36;20,9792;0
36,5;21,0577;10 000
37;21,035;0
37,5;21,0124;0
38;20,9897;0
38,5;21,0682;10 000
39;21,0455;0
39,5;21,0229;0
40;21,0002;0
40,5;20,9776;0
41;21,0561;10 000
41,5;21,0334;0
42;21,0108;0
42,5;20,9881;0
43;21,0666;10 000
43,5;21,0439;0
44;21,0213;0
44,5;20,9986;0
45;21,0771;10 000
45,5;21,0544;0
46;21,0318;0
46,5;21,0091;0
47;20,9865;0
47,5;21,0649;10 000
48;21,0423;0
48,5;21,0196;0
49;20,997;0
49,5;21,0754;10 000
