Czas[s];Temperatura[C];Moc[W]
0;20,079;10 000
0,5;20,158;10 000
1;20,2369;10 000
1,5;20,3158;10 000
2;20,3946;10 000
2,5;20,4734;10 000
3;20,5522;10 000
3,5;20,6309;10 000
4;20,7095;10 000
4,5;20,7882;10 000
5;20,8565;8 982,34
5,5;20,8974;6 285,73
6;20,9225;4 710,87
6,5;20,9378;3 748,54
7;20,9472;3 161,99
7,5;20,9529;2 804,39
8;20,9565;2 586,39
8,5;20,9587;2 453,48
9;20,96;2 372,49
9,5;20,9609;2 323,04
10;20,9615;2 292,93
10,5;20,9619;2 274,58
11;20,9621;2 263,35
11,5;20,9623;2 256,54
12;20,9625;2 252,35
12,5;20,9626;2 249,78
13;20,9628;2 248,23
13,5;20,9629;2 247,25
14;20,963;2 246,64
14,5;20,9631;2 246,31
15;20,9632;2 246,04
15,5;20,9632;2 245,92
16;20,9633;2 245,86
16,5;20,9634;2 245,79
17;20,9635;2 245,71
17,5;20,9636;2 245,69
18;20,9637;2 245,67
18,5;20,9638;2 245,64
19;20,9639;2 245,59
19,5;20,964;2 245,54
20;20,9641;2 245,56
20,5;20,9642;2 245,57
21;20,9643;2 245,57
21,5;20,9643;2 245,56
22;20,9644;2 245,54
22,5;20,9645;2 245,51
23;20,9646;2 245,47
23,5;20,9647;2 245,42
24;20,9648;2 245,45
24,5;20,9649;2 245,38
25;20,965;2 245,39
25,5;20,9651;2 245,38
26;20,9651;2 245,36
26,5;20,9652;2 245,34
27;20,9653;2 245,31
27,5;20,9654;2 245,27
28;20,9655;2 245,3
28,5;20,9656;2 245,24
29;20,9657;2 245,25
29,5;20,9657;2 245,25
30;20,9658;2 245,24
30,5;20,9659;2 245,23
31;20,966;2 245,2
31,5;20,9661;2 245,17
32;20,9662;2 245,13
32,5;20,9663;2 245,15
33;20,9663;2 245,09
33,5;20,9664;2 245,1
34;20,9665;2 245,1
34,5;20,9666;2 245,1
35;20,9667;2 245,08
35,5;20,9668;2 245,06
36;20,9668;2 245,02
36,5;20,9669;2 244,98
37;20,967;2 245,01
37,5;20,9671;2 244,95
38;20,9672;2 244,96
